epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2234,0.71581,0.46298,0.93184,0.82017,0.60969,0.65797,0.40186,1.15336,0.86102,1.00352,0.00330159,0.00330159,0.00330159
2,53.8573,0.76057,0.49353,0.93124,0.79541,0.58711,0.63343,0.39958,1.11494,0.8048,1.01604,0.00662554,0.00662554,0.00662554
3,73.8205,0.83279,0.56674,0.95838,0.61954,0.50418,0.50954,0.32246,1.28172,1.04933,1.08517,0.00994006,0.00994006,0.00994006
4,93.3566,0.89651,0.60997,0.9856,0.72799,0.53655,0.51123,0.35455,1.14144,0.92098,1.02181,0.00995757,0.00995757,0.00995757
5,112.453,0.90306,0.63934,0.98857,0.52036,0.42126,0.43651,0.30647,1.27357,1.34777,1.06793,0.00994343,0.00994343,0.00994343
6,131.626,0.90119,0.62928,0.99026,0.6737,0.23824,0.30891,0.20293,1.61473,2.76108,1.29529,0.00992929,0.00992929,0.00992929
7,150.698,0.91515,0.64206,0.98435,0.56399,0.50054,0.4781,0.34038,1.18081,0.94369,1.0355,0.00991514,0.00991514,0.00991514
8,169.746,0.89346,0.6286,0.98686,0.54979,0.51583,0.50458,0.33009,1.32751,1.07491,1.11409,0.009901,0.009901,0.009901
9,188.985,0.87981,0.61005,0.98079,0.62611,0.45607,0.47639,0.3298,1.21689,1.09058,1.0575,0.00988686,0.00988686,0.00988686
10,208.057,0.87759,0.60136,0.98131,0.701,0.54811,0.53772,0.36879,1.1969,0.99865,1.04683,0.00987271,0.00987271,0.00987271
11,227.111,0.86876,0.59721,0.97553,0.6735,0.57381,0.5803,0.37627,1.18138,0.8467,1.05232,0.00985857,0.00985857,0.00985857
12,246.169,0.87326,0.60118,0.98418,0.64318,0.53137,0.54884,0.36781,1.18788,0.98111,1.04257,0.00984443,0.00984443,0.00984443
13,265.274,0.87969,0.6076,0.98641,0.69347,0.52561,0.55452,0.367,1.14598,0.90857,1.05306,0.00983029,0.00983029,0.00983029
14,284.313,0.89436,0.6057,0.99497,0.74738,0.53349,0.57368,0.37558,1.18872,0.98689,1.03912,0.00981614,0.00981614,0.00981614
15,303.364,0.84804,0.58667,0.98839,0.71074,0.5964,0.59193,0.39583,1.14608,0.81681,1.02943,0.009802,0.009802,0.009802
16,322.427,0.8741,0.59255,0.97598,0.69994,0.56629,0.60165,0.39726,1.13857,0.84819,1.02597,0.00978786,0.00978786,0.00978786
